symbol,PN_36h_rep1,PN_36h_rep2,PN_36h_rep3,PN_adult_rep1,PN_adult_rep2,PN_adult_rep3
wek,3.705161811,3.848369879,4.084530868,4.151387349,3.456842771,2.696753091
Ca-alpha1D,4.762376138,4.901679162,5.071668222,7.138463485,7.062241465,7.078777884
Cyp303a1,0,0,0,0.559476377,0,0.035045714
crp,8.568778183,7.732150454,7.509891457,6.52474395,6.810938935,6.670518313
mRpL4,5.757126465,5.836996323,5.969425779,6.202093603,6.405641919,6.257182546
l(2)37Bb,4.724323589,4.615132444,4.993486673,5.746292518,5.880889859,5.505663705
Catsup,6.045754466,6.064957767,6.269000923,4.496883762,4.485106807,4.908810476
Lim3,0.743632778,0.460843657,1.385527878,1.37128545,0.417626289,1.850585242
l(2)37Cc,7.916641483,7.994217354,8.092213081,8.062496205,7.965891827,7.932284614
CG10561,5.62911227,5.345578224,5.633693927,6.361447894,6.743913714,6.569182247
swm,6.224911894,6.134380012,6.212602526,6.371801066,6.408236448,6.388319471
AspRS,6.33173244,6.470207731,6.696653521,5.363614854,5.570268391,5.50018759
l(2)gl,0.174348395,0.081202514,2.022929939,0,0.204896494,0.069260254
l(2)tid,7.694445245,7.067282056,6.949734329,8.090347794,7.953866005,7.806564496
dre4,4.258836544,4.012631852,4.320182354,3.504759312,3.361530033,3.767051414
l(3)73Ah,6.147292657,6.107979834,6.225097053,6.034442199,5.622147728,5.737432444
Prosbeta6,7.21398777,7.301083384,7.483699753,5.721248642,5.818279119,5.450755408
sas,0.470264926,0.19503084,0,0.033774261,0,0.102682134
l(3)87Df,4.234430635,4.433774371,4.446488649,5.197545968,5.322126199,5.307617319
dco,4.667118737,4.740728278,4.495445363,4.567761812,4.717083334,4.963272775
hyd,9.327413681,9.255437896,9.305711138,9.291813571,9.108420482,8.988842897
l(3)mbn,0,0,0,0,0.043373527,0
l(3)mbt,4.299401931,3.848369879,4.042791712,4.347101745,4.362034136,3.886997877
sti,0.715694033,1.070450879,0.764538089,0.582479838,0.417626289,0.478639091
pho,5.670634477,6.066828124,5.760707633,5.268413353,5.404480454,5.420427804
lab,2.67696552,2.216506241,2.133109169,2.315962511,2.752298428,3.482843807
lace,5.410169919,5.354793204,5.767841914,5.15406004,5.585937343,5.818872154
Lam,7.35026695,6.97998548,6.762421204,5.577657486,6.114895733,5.910186706
LanA,1.251499213,0.36680871,0.403305984,0.099039483,0.573696073,0.669156436
